study_id,year,author,condition,population_type,population_age,study_design,application,wavelength_nm,session_duration_min,session_count,blinding,control_type,outcome_cat,outcome_direction,sample,source,publisher
S022,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Major Depressive Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S022,2025,Helali et al.,Opioid Craving,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S022,2025,Helali et al.,Opioid Craving,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S022,2025,Helali et al.,Opioid Craving,clinical,adult,Rct,transcranial,810,4,NA,double-blind,sham-controlled,Depression,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S048,2025,Helali et al.,Opioid Use Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Addiction/Cravings,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
S048,2025,Helali et al.,Opioid Use Disorder,clinical,adult,Rct,transcranial,810,4,1,double-blind,sham-controlled,Anxiety,positive,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",Springer Nature
