study_id,year,author,condition,population_type,population_age,outcome_cat,outcome_direction,blinding,control_type,wavelength_nm,session_duration_min,session_count,study_design,application,sample,source,publisher
S022,2025,Helali et al.,Anxiety; Depression; Opioid Craving,clinical,adult,Anxiety; Depression; Drug Cravings,positive,double-blind,sham-controlled,810,4,,RCT,transcranial,70,"The effectiveness of Transcranial Photobiomodulation therapy (tPBM) on reducing anxiety, depression, and opioid craving in patients undergoing methadone maintenance treatment: a double-blind, randomized, controlled trial | BMC Psychiatry",BMC Psychiatry
S023,2024,de Oliveira et al.,Mild Cognitive Impairment,aging,geriatric,Cognitive function; Memory,positive,double-blind,placebo-controlled,660,20,24,RCT,transcranial,76,"Transcranial photobiomodulation increases cognition and serum BDNF levels in adults over 50 years: A randomized, double-blind, placebo-controlled trial - ScienceDirect",ScienceDirect
S024,2018,Cassano et al.,Major Depressive Disorder,clinical,adult,Depression,positive,double-blind,sham-controlled,823,30,16,RCT,transcranial,20,Transcranial Photobiomodulation for the Treatment of Major Depressive Disorder. The ELATED-2 Pilot Trial - PMC,PubMed
S025,2025,Tate et al.,Poor Sleep; Chronic Pain; PTSD; Mood,clinical,adult,Cognitive function; Sleep quality; Mood,positive,no blinding,no control group,810,20,32,Open-label pilot,transcranial,16,"Transcranial Photobiomodulation and Firefighter Health and Wellness: A Single-Arm, Open-Label Pilot Study",Sage Journals
S026,2026,Diaz et al.,Autism Spectrum Disorder,clinical,pediatric,Autism symptoms; Cognitive function; Mood; Sleep Quality,positive,no blinding,no control group,1064,10,56,Open-label pilot,transcranial,8,Transcranial Photobiomodulation for autism spectrum disorder: Prospective open-label case series across age groups - ScienceDirect,ScienceDirect
S027,2025,Jamail & Fuller,Anxiety; Depression,clinical,adult,Sleep quality; Anxiety; Depression,mixed,no blinding,no control group,1070,15,80,Case series,transcranial,3,"Transcranial photobiomodulation as an adjunctive therapy for persistent anxiety and depression in patients undergoing psychotherapy, EMDR, and/or SSRI treatment: A case series - ScienceDirect",ScienceDirect
S028,2025,Ceranoglu et al.,ADHD; Autism Spectrum Disorder,clinical,pediatric,Social behaivor; Emotional regulation; ADHD symptoms; Autism symptoms,positive,no blinding,no control group,,,,Open-label pilot,transcranial,31,4.38 Transcranial Photobiomodulation in Treatment of Autistic Traits in Youth With ADHD,ScienceDirect
S029,2025,Yang et al.,Natural Aging,aging,geriatric,Memory,positive,single-blind,sham-controlled,1064,12,1,RCT,transcranial,55,Transcranial photobiomodulation improves functional brain networks and working memory in healthy older adults: An fNIRS study - ScienceDirect,ScienceDirect
S030,2025,Rashidi-Ranjbar et al.,Mild Cognitive Impairment,aging,geriatric,Cognitive function,positive,double-blind,sham-controlled,,,42,RCT,transcranial,15,350. Efficacy and Mechanism of Action of Transcranial Photobiomodulation (tPBM) in Mild Cognitive Impairment,ScienceDirect
S031,2023,Herkes et al.,Parkinson's disease,clinical,geriatric,Motor Skills,mixed,double-blind,sham-controlled,810,24,72,RCT,transcranial,40,A novel transcranial photobiomodulation device to address motor signs of Parkinson's disease: a parallel randomised feasibility study - ScienceDirect,ScienceDirect
S032,2024,Dmochowski et al.,Healthy,healthy,adult,Brain stimulation,positive,single-blind,sham-controlled,,10,1,Randomized spectroscopy study,transcranial,14,ID: 331690 Effects of Transcranial Photobiomodulation on Cerebral Bioenergetics: a Magnetic Resonance Spectroscopy Study - ScienceDirect,ScienceDirect
S033,2024,Gaggi et al.,Alzheimer's,clinical,geriatric,Brain stimulation,positive,,no control group,808,,1,Open-label pilot,transcranial,19,Transcranial photobiomodulation increases intrinsic brain activity within irradiated areas in early Alzheimer's disease: Potential link with cerebral metabolism,ScienceDirect
S034,2025,Lai et al.,ADHD,clinical,adult,Working Memory; Attention,positive,,no control group,1064,12,7,Open-label pilot,transcranial,48,Repetitive Transcranial Photobiomodulation Improves Working Memory and Attention in Adults with ADHD: A 4-Week Follow-Up Study,Sage Journals
S035,2023,Hu et al.,Healthy,healthy,adult,Working Memory,positive,single-blind,sham-controlled,1064,12,7,RCT,transcranial,57,Repeated Photobiomodulation Induced Reduction of Bilateral Cortical Hemodynamic Activation During a Working Memory Task in Healthy Older Adults - PubMed,PubMed
S036,2018,Chan et al.,Aging; Cognitive Decline,aging,geriatric,Cognitive Function,positive,single-blind,sham-controlled,870,7.5,1,RCT,transcranial,31,Photobiomodulation Improves the Frontal Cognitive Function of Older Adults - PMC,PubMed
